KEGG_pathway,Biochemical_class,Enzyme_class,PDB_structure,Mode_of_action,Outcome
"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Glutamatergic synapse, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Huntington's disease, Cocaine addiction, Amphetamine addiction, Nicotine addiction, Alcoholism",Glutamate-gated ion channel,,"6IRH, 6IRG, 6IRF, 6IRA, 5TPA",Agonist,1.0
"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Glutamatergic synapse, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Huntington's disease, Cocaine addiction, Amphetamine addiction, Nicotine addiction, Alcoholism",Glutamate-gated ion channel,,"6IRH, 6IRG, 6IRF, 6IRA, 5TPA",Antagonist,1.0
"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Glutamatergic synapse, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Huntington's disease, Cocaine addiction, Amphetamine addiction, Nicotine addiction, Alcoholism",Glutamate-gated ion channel,,"6IRH, 6IRG, 6IRF, 6IRA, 5TPA",Inhibitor,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, NF-kappa B signaling pathway, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Non-alcoholic fatty liver disease (NAFLD), Epithelial cell signaling in Helicobacter pylori infection, Shigellosis, Salmonella infection, Pertussis, Legionellosis, Chagas disease (American trypanosomiasis), Malaria, Amoebiasis, Hepatitis C, Hepatitis B, Influenza A, Pathways in cancer, Transcriptional misregulation in cancer, Bladder cancer, Rheumatoid arthritis",Cytokine: interleukin,,"5WDZ, 5D14, 4XDX, 3IL8, 2IL8",Inhibitor,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, NF-kappa B signaling pathway, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Non-alcoholic fatty liver disease (NAFLD), Epithelial cell signaling in Helicobacter pylori infection, Shigellosis, Salmonella infection, Pertussis, Legionellosis, Chagas disease (American trypanosomiasis), Malaria, Amoebiasis, Hepatitis C, Hepatitis B, Influenza A, Pathways in cancer, Transcriptional misregulation in cancer, Bladder cancer, Rheumatoid arthritis",Cytokine: interleukin,,"5WDZ, 5D14, 4XDX, 3IL8, 2IL8",Modulator,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, NF-kappa B signaling pathway, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Non-alcoholic fatty liver disease (NAFLD), Epithelial cell signaling in Helicobacter pylori infection, Shigellosis, Salmonella infection, Pertussis, Legionellosis, Chagas disease (American trypanosomiasis), Malaria, Amoebiasis, Hepatitis C, Hepatitis B, Influenza A, Pathways in cancer, Transcriptional misregulation in cancer, Bladder cancer, Rheumatoid arthritis",Cytokine: interleukin,,"5WDZ, 5D14, 4XDX, 3IL8, 2IL8",.,1.0
"Oocyte meiosis, Progesterone-mediated oocyte maturation",Nuclear hormone receptor,,"5CC0, 4OAR, 4APU, 4A2J, 3ZRB",Agonist,1.0
"Oocyte meiosis, Progesterone-mediated oocyte maturation",Nuclear hormone receptor,,"5CC0, 4OAR, 4APU, 4A2J, 3ZRB",Antagonist,1.0
"Oocyte meiosis, Progesterone-mediated oocyte maturation",Nuclear hormone receptor,,"5CC0, 4OAR, 4APU, 4A2J, 3ZRB",Inhibitor,1.0
"Oocyte meiosis, Progesterone-mediated oocyte maturation",Nuclear hormone receptor,,"5CC0, 4OAR, 4APU, 4A2J, 3ZRB",Modulator,1.0
"Oocyte meiosis, Progesterone-mediated oocyte maturation",Nuclear hormone receptor,,"5CC0, 4OAR, 4APU, 4A2J, 3ZRB",Inducer,1.0
"Oocyte meiosis, Progesterone-mediated oocyte maturation",Nuclear hormone receptor,,"5CC0, 4OAR, 4APU, 4A2J, 3ZRB",Binder,1.0
"Steroid hormone biosynthesis, Metabolic pathways, Ovarian steroidogenesis",Paired donor oxygen oxidoreductase,Oxidoreductases,"3NA1, 3NA0, 3N9Z, 3N9Y",Inhibitor,1.0
"Chemokine signaling pathway, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Jak-STAT signaling pathway, Measles, HTLV-I infection, Epstein-Barr virus infection, Viral carcinogenesis, Primary immunodeficiency",Kinase,Transferases,"6NY4, 6GLB, 6GLA, 6GL9, 6DUD",Inhibitor,1.0
"Chemokine signaling pathway, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Jak-STAT signaling pathway, Measles, HTLV-I infection, Epstein-Barr virus infection, Viral carcinogenesis, Primary immunodeficiency",Kinase,Transferases,"6NY4, 6GLB, 6GLA, 6GL9, 6DUD",Modulator,1.0
"Glycosaminoglycan degradation, Metabolic pathways, Lysosome",Sulfuric ester hydrolase,Hydrolases,"4FDJ, 4FDI",Modulator,1.0
"PI3K-Akt signaling pathway, Focal adhesion, ECM-receptor interaction, Complement and coagulation cascades, Platelet activation",,,"6N29, 6FWN, 5BV8, 4NT5, 4DMU",Inhibitor,1.0
"PI3K-Akt signaling pathway, Focal adhesion, ECM-receptor interaction, Complement and coagulation cascades, Platelet activation",,,"6N29, 6FWN, 5BV8, 4NT5, 4DMU",Modulator,1.0
"PI3K-Akt signaling pathway, Focal adhesion, ECM-receptor interaction, Complement and coagulation cascades, Platelet activation",,,"6N29, 6FWN, 5BV8, 4NT5, 4DMU",Binder,1.0
"PI3K-Akt signaling pathway, Focal adhesion, ECM-receptor interaction, Complement and coagulation cascades, Platelet activation",,,"6N29, 6FWN, 5BV8, 4NT5, 4DMU",Replacement,1.0
"Rap1 signaling pathway, Phagosome, PI3K-Akt signaling pathway, Osteoclast differentiation, Focal adhesion, ECM-receptor interaction, Platelet activation, Hematopoietic cell lineage, Regulation of actin cytoskeleton, Thyroid hormone signaling pathway, Proteoglycans in cancer, MicroRNAs in cancer, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",mRNA target,,"6CKB, 6BXJ, 6BXF, 6BXB, 6AVU",.,0.0
"Rap1 signaling pathway, Phagosome, PI3K-Akt signaling pathway, Osteoclast differentiation, Focal adhesion, ECM-receptor interaction, Platelet activation, Hematopoietic cell lineage, Regulation of actin cytoskeleton, Thyroid hormone signaling pathway, Proteoglycans in cancer, MicroRNAs in cancer, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",mRNA target,,"6CKB, 6BXJ, 6BXF, 6BXB, 6AVU",Inhibitor,0.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Endocytosis, Adrenergic signaling in cardiomyocytes, Salivary secretion",GPCR rhodopsin,,"6MXT, 5X7D, 5JQH, 5D6L, 5D5B",Agonist,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Endocytosis, Adrenergic signaling in cardiomyocytes, Salivary secretion",GPCR rhodopsin,,"6MXT, 5X7D, 5JQH, 5D6L, 5D5B",Antagonist,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Endocytosis, Adrenergic signaling in cardiomyocytes, Salivary secretion",GPCR rhodopsin,,"6MXT, 5X7D, 5JQH, 5D6L, 5D5B",Inhibitor,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Endocytosis, Adrenergic signaling in cardiomyocytes, Salivary secretion",GPCR rhodopsin,,"6MXT, 5X7D, 5JQH, 5D6L, 5D5B",Modulator,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"4DT7, 3JTC, 3F6U, 2PCT, 1PCU",Inhibitor,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"4DT7, 3JTC, 3F6U, 2PCT, 1PCU",Modulator,1.0
"Neuroactive ligand-receptor interaction, Dopaminergic synapse",GPCR rhodopsin,,"5WIV, 5WIU",Modulator,1.0
"Neuroactive ligand-receptor interaction, Dopaminergic synapse",GPCR rhodopsin,,"5WIV, 5WIU",Antagonist,1.0
"Neuroactive ligand-receptor interaction, Dopaminergic synapse",GPCR rhodopsin,,"5WIV, 5WIU",Agonist,1.0
"Neuroactive ligand-receptor interaction, Dopaminergic synapse",GPCR rhodopsin,,"5WIV, 5WIU",Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Dopaminergic synapse",GPCR rhodopsin,,"5WIV, 5WIU",Binder,1.0
"Neuroactive ligand-receptor interaction, Dopaminergic synapse",GPCR rhodopsin,,"5WIV, 5WIU",Partial agonist,1.0
"NF-kappa B signaling pathway, Osteoclast differentiation, Platelet activation, B cell receptor signaling pathway, Fc epsilon RI signaling pathway, Primary immunodeficiency",Kinase,Transferases,"6O8I, 6NFI, 6NFH, 6N9P, 6HRT",Inhibitor,1.0
"NF-kappa B signaling pathway, Osteoclast differentiation, Platelet activation, B cell receptor signaling pathway, Fc epsilon RI signaling pathway, Primary immunodeficiency",Kinase,Transferases,"6O8I, 6NFI, 6NFH, 6N9P, 6HRT",Modulator,1.0
"Alanine, aspartate and glutamate metabolism, Arginine and proline metabolism, Nitrogen metabolism, Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids",Carbon-nitrogen ligase,Ligases,"5OJO, 5DOU, 5DOT, 4UUB, 4UUA",Activator,1.0
"Alanine, aspartate and glutamate metabolism, Arginine and proline metabolism, Nitrogen metabolism, Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids",Carbon-nitrogen ligase,Ligases,"5OJO, 5DOU, 5DOT, 4UUB, 4UUA",Modulator,1.0
"ABC transporters, Bile secretion, MicroRNAs in cancer",ABC transporter,Translocases,"6QEX, 6FN4, 6FN1, 6C0V",Modulator,1.0
"ABC transporters, Bile secretion, MicroRNAs in cancer",ABC transporter,Translocases,"6QEX, 6FN4, 6FN1, 6C0V",Inhibitor,1.0
MicroRNAs in cancer,Methyltransferase,Transferases,"6C24, 6C23, 5WUK, 5WG6, 5U62",Inhibitor,1.0
MicroRNAs in cancer,Methyltransferase,Transferases,"6C24, 6C23, 5WUK, 5WG6, 5U62",Degrader,1.0
MicroRNAs in cancer,Methyltransferase,Transferases,"6C24, 6C23, 5WUK, 5WG6, 5U62",Modulator,1.0
"MAPK signaling pathway, Calcium signaling pathway, cGMP-PKG signaling pathway, Oocyte meiosis, Apoptosis, Wnt signaling pathway, Axon guidance, VEGF signaling pathway, Osteoclast differentiation, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, B cell receptor signaling pathway, Long-term potentiation, Glutamatergic synapse, Dopaminergic synapse, Oxytocin signaling pathway, Glucagon signaling pathway, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Amphetamine addiction, Tuberculosis, HTLV-I infection",Phosphoric monoester hydrolase,Hydrolases,"5SVE, 5C1V, 4Q5U, 4F0Z, 3LL8",Inhibitor,1.0
"NF-kappa B signaling pathway, Cell adhesion molecules (CAMs), Natural killer cell mediated cytotoxicity, TNF signaling pathway, Leukocyte transendothelial migration, African trypanosomiasis, Malaria, Staphylococcus aureus infection, Influenza A, HTLV-I infection, Epstein-Barr virus infection, Rheumatoid arthritis, Viral myocarditis",Immunoglobulin,,"6EIT, 5MZA, 3TCX, 2OZ4, 1Z7Z",Antagonist,1.0
"NF-kappa B signaling pathway, Cell adhesion molecules (CAMs), Natural killer cell mediated cytotoxicity, TNF signaling pathway, Leukocyte transendothelial migration, African trypanosomiasis, Malaria, Staphylococcus aureus infection, Influenza A, HTLV-I infection, Epstein-Barr virus infection, Rheumatoid arthritis, Viral myocarditis",Immunoglobulin,,"6EIT, 5MZA, 3TCX, 2OZ4, 1Z7Z",Modulator,1.0
"NF-kappa B signaling pathway, Cell adhesion molecules (CAMs), Natural killer cell mediated cytotoxicity, TNF signaling pathway, Leukocyte transendothelial migration, African trypanosomiasis, Malaria, Staphylococcus aureus infection, Influenza A, HTLV-I infection, Epstein-Barr virus infection, Rheumatoid arthritis, Viral myocarditis",Immunoglobulin,,"6EIT, 5MZA, 3TCX, 2OZ4, 1Z7Z",.,1.0
"NF-kappa B signaling pathway, Cell adhesion molecules (CAMs), Natural killer cell mediated cytotoxicity, TNF signaling pathway, Leukocyte transendothelial migration, African trypanosomiasis, Malaria, Staphylococcus aureus infection, Influenza A, HTLV-I infection, Epstein-Barr virus infection, Rheumatoid arthritis, Viral myocarditis",Immunoglobulin,,"6EIT, 5MZA, 3TCX, 2OZ4, 1Z7Z",Inhibitor,1.0
"NF-kappa B signaling pathway, Cell adhesion molecules (CAMs), Natural killer cell mediated cytotoxicity, TNF signaling pathway, Leukocyte transendothelial migration, African trypanosomiasis, Malaria, Staphylococcus aureus infection, Influenza A, HTLV-I infection, Epstein-Barr virus infection, Rheumatoid arthritis, Viral myocarditis",mRNA target,,"6EIT, 5MZA, 3TCX, 2OZ4, 1Z7Z",.,1.0
"NF-kappa B signaling pathway, Cell adhesion molecules (CAMs), Natural killer cell mediated cytotoxicity, TNF signaling pathway, Leukocyte transendothelial migration, African trypanosomiasis, Malaria, Staphylococcus aureus infection, Influenza A, HTLV-I infection, Epstein-Barr virus infection, Rheumatoid arthritis, Viral myocarditis",mRNA target,,"6EIT, 5MZA, 3TCX, 2OZ4, 1Z7Z",Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,"6A96, 5OJM, 5O8F",Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,"6A96, 5OJM, 5O8F",Agonist,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,"6A96, 5OJM, 5O8F",Modulator (allosteric modulator),1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,"6A96, 5OJM, 5O8F",Blocker (channel blocker),1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,"6A96, 5OJM, 5O8F",Modulator,1.0
"Pentose and glucuronate interconversions, Fructose and mannose metabolism, Galactose metabolism, Glycerolipid metabolism, Metabolic pathways",Short-chain dehydrogenases reductase,Oxidoreductases,"6F8O, 6F84, 6F82, 6F81, 6F7R",Modulator,1.0
"Pentose and glucuronate interconversions, Fructose and mannose metabolism, Galactose metabolism, Glycerolipid metabolism, Metabolic pathways",Short-chain dehydrogenases reductase,Oxidoreductases,"6F8O, 6F84, 6F82, 6F81, 6F7R",Inhibitor,1.0
"Pentose and glucuronate interconversions, Fructose and mannose metabolism, Galactose metabolism, Glycerolipid metabolism, Metabolic pathways",Short-chain dehydrogenases reductase,Oxidoreductases,"6F8O, 6F84, 6F82, 6F81, 6F7R",.,1.0
"Calcium signaling pathway, FoxO signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Long-term depression, Estrogen signaling pathway",GPCR glutamate,,"4OR2, 3KS9",Modulator (allosteric modulator),0.0
"Calcium signaling pathway, FoxO signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Long-term depression, Estrogen signaling pathway",GPCR glutamate,,"4OR2, 3KS9",Agonist,0.0
"Calcium signaling pathway, FoxO signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Long-term depression, Estrogen signaling pathway",GPCR glutamate,,"4OR2, 3KS9",Antagonist,0.0
"Calcium signaling pathway, FoxO signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Long-term depression, Estrogen signaling pathway",GPCR glutamate,,"4OR2, 3KS9",Inhibitor,0.0
"Calcium signaling pathway, FoxO signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Long-term depression, Estrogen signaling pathway",GPCR glutamate,,"4OR2, 3KS9",Modulator,0.0
"Neuroactive ligand-receptor interaction, Pancreatic secretion, Protein digestion and absorption, Influenza A",Peptidase,Hydrolases,"4WXV, 4WWY, 2RA3, 1TRN, 1FXY",Modulator,1.0
"Neuroactive ligand-receptor interaction, Pancreatic secretion, Protein digestion and absorption, Influenza A",Peptidase,Hydrolases,"4WXV, 4WWY, 2RA3, 1TRN, 1FXY",Inhibitor,1.0
Serotonergic synapse,Neurotransmitter:sodium symporter,,"6DZZ, 6DZY, 6DZW, 6DZV, 6AWQ",Inhibitor,1.0
Serotonergic synapse,Neurotransmitter:sodium symporter,,"6DZZ, 6DZY, 6DZW, 6DZV, 6AWQ",Binder,1.0
Serotonergic synapse,Neurotransmitter:sodium symporter,,"6DZZ, 6DZY, 6DZW, 6DZV, 6AWQ",Modulator,1.0
Serotonergic synapse,Neurotransmitter:sodium symporter,,"6DZZ, 6DZY, 6DZW, 6DZV, 6AWQ",.,1.0
Serotonergic synapse,Neurotransmitter:sodium symporter,,"6DZZ, 6DZY, 6DZW, 6DZV, 6AWQ",Activator,1.0
Serotonergic synapse,Neurotransmitter:sodium symporter,,"6DZZ, 6DZY, 6DZW, 6DZV, 6AWQ",Antagonist,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, PI3K-Akt signaling pathway, Regulation of actin cytoskeleton, Pathways in cancer, Melanoma",Heparin-binding growth factors family,,1IJT,Modulator,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, PI3K-Akt signaling pathway, Regulation of actin cytoskeleton, Pathways in cancer, Melanoma",Heparin-binding growth factors family,,1IJT,Replacement,1.0
Complement and coagulation cascades,Serpin protein,,"9API, 8API, 7API, 5NBV, 5NBU",Inhibitor,1.0
Complement and coagulation cascades,Serpin protein,,"9API, 8API, 7API, 5NBV, 5NBU",Modulator,1.0
"Glycerolipid metabolism, PPAR signaling pathway, Alzheimer's disease",Carboxylic ester hydrolase,Hydrolases,"6OB0, 6OAZ, 6OAU, 6E7K",Modulator,1.0
"Glycerolipid metabolism, PPAR signaling pathway, Alzheimer's disease",Carboxylic ester hydrolase,Hydrolases,"6OB0, 6OAZ, 6OAU, 6E7K",Activator,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, PI3K-Akt signaling pathway, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,"6OIJ, 5CXV",Agonist,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, PI3K-Akt signaling pathway, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,"6OIJ, 5CXV",Inhibitor,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, PI3K-Akt signaling pathway, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,"6OIJ, 5CXV",Modulator,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, PI3K-Akt signaling pathway, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,"6OIJ, 5CXV",Antagonist,1.0
